Date,Open,High,Low,Close,Volume,ticker
15/12/2023,"10,850.18","10,850.18","10,850.18","10,850.18",0,FTXIN0H:FSI
14/12/2023,"10,592.27","10,592.27","10,592.27","10,592.27",0,FTXIN0H:FSI
13/12/2023,"10,593.32","10,593.32","10,593.32","10,593.32",0,FTXIN0H:FSI
12/12/2023,"10,708.86","10,708.86","10,708.86","10,708.86",0,FTXIN0H:FSI
11/12/2023,"10,548.64","10,548.64","10,548.64","10,548.64",0,FTXIN0H:FSI
08/12/2023,"10,684.46","10,684.46","10,684.46","10,684.46",0,FTXIN0H:FSI
07/12/2023,"10,708.98","10,708.98","10,708.98","10,708.98",0,FTXIN0H:FSI
06/12/2023,"10,790.75","10,790.75","10,790.75","10,790.75",0,FTXIN0H:FSI
05/12/2023,"10,688.03","10,688.03","10,688.03","10,688.03",0,FTXIN0H:FSI
04/12/2023,"10,908.10","10,908.10","10,908.10","10,908.10",0,FTXIN0H:FSI
01/12/2023,"11,110.43","11,110.43","11,110.43","11,110.43",0,FTXIN0H:FSI
30/11/2023,"11,260.32","11,260.32","11,260.32","11,260.32",0,FTXIN0H:FSI
29/11/2023,"11,208.15","11,208.15","11,208.15","11,208.15",0,FTXIN0H:FSI
28/11/2023,"11,494.55","11,494.55","11,494.55","11,494.55",0,FTXIN0H:FSI
27/11/2023,"11,638.71","11,638.71","11,638.71","11,638.71",0,FTXIN0H:FSI
24/11/2023,"11,663.83","11,663.83","11,663.83","11,663.83",0,FTXIN0H:FSI
23/11/2023,"11,915.18","11,915.18","11,915.18","11,915.18",0,FTXIN0H:FSI
22/11/2023,"11,750.72","11,750.72","11,750.72","11,750.72",0,FTXIN0H:FSI
21/11/2023,"11,736.16","11,736.16","11,736.16","11,736.16",0,FTXIN0H:FSI
20/11/2023,"11,755.91","11,755.91","11,755.91","11,755.91",0,FTXIN0H:FSI
17/11/2023,"11,527.02","11,527.02","11,527.02","11,527.02",0,FTXIN0H:FSI
16/11/2023,"11,813.66","11,813.66","11,813.66","11,813.66",0,FTXIN0H:FSI
15/11/2023,"11,959.36","11,959.36","11,959.36","11,959.36",0,FTXIN0H:FSI
14/11/2023,"11,491.45","11,491.45","11,491.45","11,491.45",0,FTXIN0H:FSI
13/11/2023,"11,569.11","11,569.11","11,569.11","11,569.11",0,FTXIN0H:FSI
10/11/2023,"11,401.79","11,401.79","11,401.79","11,401.79",0,FTXIN0H:FSI
09/11/2023,"11,643.45","11,643.45","11,643.45","11,643.45",0,FTXIN0H:FSI
